code,title,division,level
00 42 63,Proposal Form – Purchase Contract,00,3
00 43 00,Procurement Form Supplements,00,2
00 43 13,Bid Security Form,00,3
00 43 21,Allowance Form,00,3
00 43 22,Unit Prices Form,00,3
00 43 23,Alternates Form,00,3
00 43 25,Substitution Request Form (During Procurement),00,3
00 43 26,Estimated Quantities Form,00,3
00 43 33,Proposed Products Form,00,3
00 43 36,Proposed Subcontractors Form,00,3
00 43 39,Minority Business Enterprise Statement of Intent Form,00,3
00 43 43,Wage Rates Form,00,3
00 43 73,Proposed Schedule of Values Form,00,3
00 43 83,Proposed Construction Schedule Form,00,3
00 43 86,Proposed Work Plan Schedule Form,00,3
00 43 93,Bid Submittal Checklist,00,3
00 45 00,Representations and Certifications,00,2
00 45 13,Bidder’s Qualifications,00,3
00 45 16,Proposer’s Qualifications,00,3
00 45 19,Non-Collusion Affidavit,00,3
00 45 23,Statement of Disposal Facility,00,3
00 45 26,Worker’s Compensation Certificate Schedule,00,3
00 45 33,Non-Segregated Facilities Affidavit,00,3
00 45 36,Equal Employment Opportunity Affidavit,00,3
00 45 39,Minority Business Enterprise Affidavit,00,3
00 45 43,Corporate Resolutions,00,3
00 45 46,Governmental Certifications,00,3
00 50 00,Contracting Forms and Supplements,00,2
00 51 00,Notice of Award,00,2
00 52 00,Agreement Forms,00,2
00 52 13,Agreement Form – Stipulated Sum (Single-Prime Contract),00,3
00 52 16,Agreement Form – Stipulated Sum (Multiple-Prime Contract),00,3
00 52 23,Agreement Form – Construction Management (Single-Prime Contract),00,3
00 52 26,Agreement Form – Construction Management (Multiple-Prime Contract),00,3
00 52 33,Agreement Form – Cost Plus-Fee (Single-Prime Contract),00,3
00 52 36,Agreement Form – Cost-Plus-Fee (Multiple-Prime Contract),00,3
00 52 43,Agreement Form – Unit Price (Single-Prime Contract),00,3
00 52 46,Agreement Form – Unit Price (Multiple-Prime Contract),00,3
00 52 53,Agreement Form – Design/Build (Single-Prime Contract),00,3
00 52 56,Agreement Form – Design/Build (Multiple-Prime Contract),00,3
00 52 63,Agreement Form – Purchase,00,3
00 54 00,Agreement Form Supplements,00,2
00 54 13,Supplementary Scope Statement,00,3
00 54 21,Allowances Schedule,00,3
00 54 22,Unit Prices Schedule,00,3
00 55 00,Notice to Proceed,00,2
00 60 00,Project Forms,00,2
00 61 00,Bond Forms,00,2
00 61 13,Performance and Payment Bond Form,00,3
00 61 16,Lien Bond Form,00,3
00 61 19,Maintenance Bond Form,00,3
00 61 23,Retainage Bond Form,00,3
00 61 26,Special Bond Form,00,3
00 62 00,Certificates and Other Forms,00,2
00 62 11,Submittal Transmittal Form,00,3
00 62 16,Certificate of Insurance Form,00,3
00 62 19,Infection Control Form,00,3
00 62 23,Construction Waste Diversion Form,00,3
00 62 33,Products Form,00,3
00 62 34,Recycled Content of Materials Form,00,3
00 62 39,Minority Business Enterprise Certification Form,00,3
00 62 73,Schedule of Values Form,00,3
00 62 76,Application for Payment Form,00,3
00 62 79,Stored Material Form,00,3
00 62 83,Construction Schedule Form,00,3
00 62 86,Work Plan Schedule Form,00,3
00 62 89,Construction Equipment Form,00,3
00 63 00,Clarification and Modification Forms,00,2
00 63 13,Request for Interpretation Form,00,3
00 63 19,Clarification Form,00,3
00 63 25,Substitution Request Form (During Construction),00,3
00 63 33,Supplemental Instruction Form,00,3
00 63 36,Field Order Form,00,3
00 63 43,Written Amendment Form,00,3
00 63 46,Construction Change Directive Form,00,3
00 63 49,Work Change Directive Form,00,3
00 63 53,Request for Proposal Form,00,3
00 63 54,Proposal Worksheet Summary Form,00,3
00 63 55,Proposal Worksheet Detail Form,00,3
00 63 57,Change Order Request Form,00,3
00 63 63,Change Order Form,00,3
00 65 00,Closeout Forms,00,2
00 65 13,Certificate of Compliance Form,00,3
00 65 16,Certificate of Substantial Completion Form,00,3
00 65 19,Certificate of Completion Form,00,3
00 65 36,Warranty Form,00,3
00 65 73,Statutory Declaration Form,00,3
00 70 00,Conditions of the Contract,00,2
00 71 00,Contracting Definitions,00,2
00 72 00,General Conditions,00,2
00 72 13,General Conditions – Stipulated Sum (Single-Prime Contract),00,3
00 72 16,General Conditions – Stipulated Sum (Multiple-Prime Contract),00,3
00 72 23,General Conditions – Construction Management (Single-Prime Contract),00,3
00 72 26,General Conditions – Construction Management (Multiple-Prime Contract),00,3
00 72 33,General Conditions – Cost Plus-Fee (Single-Prime Contract),00,3
00 72 36,General Conditions – Cost-Plus-Fee (Multiple-Prime Contract),00,3
00 72 43,General Conditions – Unit Price (Single-Prime Contract),00,3
00 72 46,General Conditions – Unit Price (Multiple-Prime Contract),00,3
00 72 53,General Conditions – Design/Build (Single-Prime Contract),00,3
00 72 56,General Conditions – Design/Build (Multiple-Prime Contract),00,3
00 73 00,Supplementary Conditions,00,2
00 73 16,Insurance Requirements,00,3
00 73 19,Health and Safety Requirements,00,3
00 73 23,Purchase Contracts,00,3
00 73 26,Assigned Contracts,00,3
00 73 33,Non-Segregated Facilities Requirements,00,3
00 73 36,Equal Employment Opportunity Requirements,00,3
00 73 43,Wage Rate Requirements,00,3
00 73 46,Wage Determination Schedule,00,3
00 73 49,Labor Stabilization Agreement,00,3
00 73 53,Anti-Pollution Measures,00,3
00 73 63,Security Requirements,00,3
00 73 73,Statutory Requirements,00,3
00 80 00,Unassigned,00,2
00 90 00,"Revisions, Clarifications, and Modifications",00,2
00 91 00,Precontract Revisions,00,2
00 91 13,Addenda,00,3
00 91 16,Bid Revisions,00,3
00 91 19,Proposal Revisions,00,3
00 93 00,Record Clarifications and Proposals,00,2
00 93 13,Record Requests for Interpretation,00,3
00 93 19,Record Clarification Notices,00,3
00 93 53,Record Proposal Requests,00,3
00 93 54,Record Proposal Worksheet Summaries,00,3
00 93 57,Record Change Order Requests,00,3
00 94 00,Record Modifications,00,2
00 94 33,Record Minor Changes in the Work,00,3
00 94 36,Record Supplemental Instructions,00,3
00 94 39,Record Field Orders,00,3
00 94 43,Record Amendments,00,3
00 94 46,Record Construction Change Directives,00,3
00 94 49,Record Work Change Directives,00,3
00 94 63,Record Change Orders,00,3
01 00 00,General Requirements,01,1
01 10 00,Summary,01,2
01 11 00,Summary of Work,01,2
01 11 13,Work Covered by Contract Documents,01,3
01 11 16,Work by Owner,01,3
01 11 19,Purchase Contracts,01,3
01 12 00,Multiple Contract Summary,01,2
01 12 13,Summary of Contracts,01,3
01 12 16,Work Sequence,01,3
01 12 19,Contract Interface,01,3
01 14 00,Work Restrictions,01,2
01 14 13,Access to Site,01,3
01 14 16,Coordination with Occupants,01,3
01 14 19,Use of Site,01,3
01 18 00,Project Utility Sources,01,2
01 20 00,Price and Payment Procedures,01,2
01 21 00,Allowances,01,2
01 21 13,Cash Allowances,01,3
01 21 16,Contingency Allowances,01,3
01 21 19,Testing and Inspecting Allowances,01,3
01 21 23,Installation Allowances,01,3
01 21 26,Product Allowances,01,3
01 21 29,Quantity Allowances,01,3
01 21 43,Time Allowances,01,3
01 22 00,Unit Prices,01,2
01 22 13,Unit Price Measurement,01,3
01 22 16,Unit Price Payment,01,3
01 23 00,Alternates,01,2
01 24 00,Value Analysis,01,2
01 24 13,Value Engineering,01,3
01 25 00,Substitution Procedures,01,2
01 25 13,Product Substitution Procedures,01,3
01 25 16,Execution Substitution Procedures,01,3
01 26 00,Contract Modification Procedures,01,2
01 26 13,Requests for Interpretation,01,3
01 26 19,Clarification Notices,01,3
01 26 33,Minor Changes in the Work,01,3
01 26 36,Supplemental Instructions,01,3
01 26 39,Field Orders,01,3
01 26 43,Amendments,01,3
01 26 46,Construction Change Directives,01,3
01 26 49,Work Change Directives,01,3
01 26 53,Proposal Requests,01,3
01 26 54,Proposal Worksheet Summaries,01,3
01 26 57,Change Order Requests,01,3
01 26 63,Change Orders,01,3
01 29 00,Payment Procedures,01,2
01 29 73,Schedule of Values,01,3
01 29 76,Progress Payment Procedures,01,3
01 29 83,Payment Procedures for Testing Laboratory Services,01,3
01 30 00,Administrative Requirements,01,2
01 31 00,Project Management and Coordination,01,2
01 31 13,Project Coordination,01,3
01 31 16,Multiple Contract Coordination,01,3
01 31 19,Project Meetings,01,3
01 31 23,Project Web Site,01,3
01 32 00,Construction Progress Documentation,01,2
01 32 13,Scheduling of Work,01,3
01 32 16,Construction Progress Schedule,01,3
01 32 19,Submittals Schedule,01,3
01 32 23,Survey and Layout Data,01,3
01 32 26,Construction Progress Reporting,01,3
01 32 29,Periodic Work Observation,01,3
01 32 33,Photographic Documentation,01,3
01 32 43,Purchase Order Tracking,01,3
01 33 00,Submittal Procedures,01,2
01 33 13,Certificates,01,3
01 33 16,Design Data,01,3
01 33 19,Field Test Reporting,01,3
01 33 23,"Shop Drawings, Product Data, and Samples",01,3
01 33 26,Source Quality Control Reporting,01,3
01 33 29,Sustainable Design Reporting,01,3
01 35 00,Special Procedures,01,2
01 35 13,Special Project Procedures,01,3
01 35 16,Alteration Project Procedures,01,3
01 35 23,Owner Safety Requirements,01,3
01 35 26,Governmental Safety Requirements,01,3
01 35 29,"Health, Safety, and Emergency Response Procedures",01,3
01 35 33,Infection Control Procedures,01,3
01 35 43,Environmental Procedures,01,3
01 35 53,Security Procedures,01,3
01 35 91,Historic Treatment Procedures,01,3
01 40 00,Quality Requirements,01,2
01 41 00,Regulatory Requirements,01,2
01 41 13,Codes,01,3
01 41 16,Laws,01,3
01 41 19,Rules,01,3
01 41 23,Fees,01,3
01 41 26,Permits,01,3
01 42 00,References,01,2
01 42 13,Abbreviations and Acronyms,01,3
01 42 16,Definitions,01,3
01 42 19,Reference Standards,01,3
01 43 00,Quality Assurance,01,2
01 43 13,Manufacturer Qualifications,01,3
01 43 16,Supplier Qualifications,01,3
01 43 19,Fabricator Qualifications,01,3
01 43 23,Installer Qualifications,01,3
01 43 26,Testing and Inspecting Agency Qualifications,01,3
01 43 29,Code-Required Special Inspector Qualifications,01,3
01 43 33,Manufacturer’s Field Services,01,3
01 43 36,Field Samples,01,3
01 43 39,Mockups,01,3
01 45 00,Quality Control,01,2
01 45 13,Source Quality Control Procedures,01,3
01 45 16,Field Quality Control Procedures,01,3
01 45 23,Testing and Inspecting Services,01,3
01 45 26,Plant Inspection Procedures,01,3
01 45 29,Testing Laboratory Services,01,3
01 45 33,Code-Required Special Inspections and Procedures,01,3
01 50 00,Temporary Facilities and Controls,01,2
01 51 00,Temporary Utilities,01,2
01 51 13,Temporary Electricity,01,3
01 51 16,Temporary Fire Protection,01,3
01 51 19,Temporary Fuel Oil,01,3
01 51 23,"Temporary Heating, Cooling, and Ventilating",01,3
01 51 26,Temporary Lighting,01,3
01 51 29,Temporary Natural-Gas,01,3
01 51 33,Temporary Telecommunications,01,3
01 51 36,Temporary Water,01,3
01 52 00,Construction Facilities,01,2
01 52 13,Field Offices and Sheds,01,3
01 52 16,First Aid Facilities,01,3
01 52 19,Sanitary Facilities,01,3
01 53 00,Temporary Construction,01,2
01 53 13,Temporary Bridges,01,3
01 53 16,Temporary Decking,01,3
01 53 19,Temporary Overpasses,01,3
01 53 23,Temporary Ramps,01,3
01 53 26,Temporary Runarounds,01,3
01 54 00,Construction Aids,01,2
01 54 13,Temporary Elevators,01,3
01 54 16,Temporary Hoists,01,3
01 54 19,Temporary Cranes,01,3
01 54 23,Temporary Scaffolding and Platforms,01,3
01 54 26,Temporary Swing Staging,01,3
01 55 00,Vehicular Access and Parking,01,2
01 55 13,Temporary Access Roads,01,3
01 55 16,Haul Routes,01,3
01 55 19,Temporary Parking Areas,01,3
01 55 23,Temporary Roads,01,3
01 55 26,Traffic Control,01,3
01 55 29,Staging Areas,01,3
01 56 00,Temporary Barriers and Enclosures,01,2
01 56 13,Temporary Air Barriers,01,3
01 56 16,Temporary Dust Barriers,01,3
01 56 19,Temporary Noise Barriers,01,3
01 56 23,Temporary Barricades,01,3
01 56 26,Temporary Fencing,01,3
01 56 29,Temporary Protective Walkways,01,3
01 56 33,Temporary Security Barriers,01,3
01 56 36,Temporary Security Enclosures,01,3
01 56 39,Temporary Tree and Plant Protection,01,3
01 57 00,Temporary Controls,01,2
01 57 13,Temporary Erosion and Sediment Control,01,3
01 57 16,Temporary Pest Control,01,3
01 57 19,Temporary Environmental Controls,01,3
01 57 23,Temporary Storm Water Pollution Control,01,3
01 58 00,Project Identification,01,2
01 58 13,Temporary Project Signage,01,3
01 58 16,Temporary Interior Signage,01,3
01 60 00,Product Requirements,01,2
01 61 00,Common Product Requirements,01,2
01 61 13,Software Licensing Requirements,01,3
01 62 00,Product Options,01,2
01 64 00,Owner-Furnished Products,01,2
01 65 00,Product Delivery Requirements,01,2
01 66 00,Product Storage and Handling Requirements,01,2
01 66 13,Product Storage and Handling Requirements for Hazardous Materials,01,3
01 66 16,Product Storage and Handling Requirements for Toxic Materials,01,3
01 70 00,Execution and Closeout Requirements,01,2
01 71 00,Examination and Preparation,01,2
01 71 13,Mobilization,01,3
01 71 16,Acceptance of Conditions,01,3
01 71 23,Field Engineering,01,3
01 71 33,Protection of Adjacent Construction,01,3
01 73 00,Execution,01,2
01 73 13,Application,01,3
01 73 16,Erection,01,3
01 73 19,Installation,01,3
01 73 23,Bracing and Anchoring,01,3
01 73 26,Existing Products,01,3
01 73 29,Cutting and Patching,01,3
01 74 00,Cleaning and Waste Management,01,2
01 74 13,Progress Cleaning,01,3
01 74 16,Site Maintenance,01,3
01 74 19,Construction Waste Management and Disposal,01,3
01 74 23,Final Cleaning,01,3
01 75 00,Starting and Adjusting,01,2
01 75 13,Checkout Procedures,01,3
01 75 16,Startup Procedures,01,3
01 76 00,Protecting Installed Construction,01,2
01 77 00,Closeout Procedures,01,2
01 77 13,Preliminary Closeout Reviews,01,3
01 77 16,Final Closeout Review,01,3
01 77 19,Closeout Requirements,01,3
01 78 00,Closeout Submittals,01,2
01 78 13,Completion and Correction List,01,3
01 78 19,Maintenance Contracts,01,3
01 78 23,Operation and Maintenance Data,01,3
01 78 29,Final Site Survey,01,3
01 78 33,Bonds,01,3
01 78 36,Warranties,01,3
01 78 39,Project Record Documents,01,3
01 78 43,Spare Parts,01,3
01 78 46,Extra Stock Materials,01,3
01 78 53,Sustainable Design Closeout Documentation,01,3
01 79 00,Demonstration and Training,01,2
01 80 00,Performance Requirements,01,2
01 81 00,Facility Performance Requirements,01,2
01 81 13,Sustainable Design Requirements,01,3
01 81 16,Facility Environmental Requirements,01,3
01 81 19,Indoor Air Quality Requirements,01,3
01 82 00,Facility Substructure Performance Requirements,01,2
01 82 13,Foundation Performance Requirements,01,3
01 82 16,Basement Construction Performance Requirements,01,3
01 83 00,Facility Shell Performance Requirements,01,2
01 83 13,Superstructure Performance Requirements,01,3
01 83 16,Exterior Enclosure Performance Requirements,01,3
01 83 19,Roofing Performance Requirements,01,3
01 84 00,Interiors Performance Requirements,01,2
01 84 13,Interior Construction Performance Requirements,01,3
01 84 16,Stairways Performance Requirements,01,3
01 84 19,Interior Finishes Performance Requirements,01,3
01 85 00,Conveying Equipment Performance Requirements,01,2
01 86 00,Facility Services Performance Requirements,01,2
01 86 13,Fire Suppression Performance Requirements,01,3
01 86 16,Plumbing Performance Requirements,01,3
01 86 19,HVAC Performance Requirements,01,3
01 86 23,Integrated Automation Performance Requirements,01,3
01 86 26,Electrical Performance Requirements,01,3
01 86 29,Communications Performance Requirements,01,3
01 86 33,Electronic Safety and Security Performance Requirements,01,3
01 87 00,Equipment and Furnishings Performance Requirements,01,2
01 87 13,Equipment Performance Requirements,01,3
01 87 16,Furnishings Performance Requirements,01,3
01 88 00,Other Facility Construction Performance Requirements,01,2
01 88 13,Special Construction Performance Requirements,01,3
01 88 16,Selective Construction Performance Requirements,01,3
01 89 00,Site Construction Performance Requirements,01,2
01 89 13,Site Preparation Performance Requirements,01,3
01 89 16,Site Improvements Performance Requirements,01,3
01 89 19,Site Plumbing Utilities Performance Requirements,01,3
01 89 23,Site HVAC Utilities Performance Requirements,01,3
01 89 26,Site Electrical Utilities Performance Requirements,01,3
01 89 29,Other Site Construction Performance Requirements,01,3
01 90 00,Life Cycle Activities,01,2
01 91 00,Commissioning,01,2
01 91 13,General Commissioning Requirements,01,3
01 91 16,Facility Substructure Commissioning,01,3
01 91 19,Facility Shell Commissioning,01,3
01 91 23,Interiors Commissioning,01,3
01 92 00,Facility Operation,01,2
01 92 13,Facility Operation Procedures,01,3
01 93 00,Facility Maintenance,01,2
01 93 13,Facility Maintenance Procedures,01,3
01 93 16,Recycling Programs,01,3
01 94 00,Facility Decommissioning,01,2
01 94 13,Facility Decommissioning Procedures,01,3
02 00 00,Existing Conditions,02,1
02 06 00,Schedules for Existing Conditions,02,2
02 06 30,Schedules for Subsurface Investigations,02,3
02 06 50,Schedules for Site Remediation,02,3
02 06 65,Schedules for Underground Storage Tank Removal,02,3
02 06 80,Schedules for Facility Remediation,02,3
02 06 86,Schedules for Hazardous Waste Drum Handling,02,3
02 08 00,Commissioning of Existing Conditions,02,2
02 10 00,Unassigned,02,2
02 20 00,Assessment,02,2
02 21 00,Surveys,02,2
02 21 13,Site Surveys,02,3
02 21 16,Measured Drawings,02,3
02 22 00,Existing Conditions Assessment,02,2
02 22 13,Movement and Vibration Assessment,02,3
02 22 16,Acoustic Assessment,02,3
02 22 19,Traffic Assessment,02,3
02 22 23,Accessibility Assessment,02,3
02 24 00,Environmental Assessment,02,2
02 24 13,Natural Environment Assessment,02,3
02 24 23,Chemical Sampling and Analysis of Soils,02,3
02 24 43,Transboundary and Global Environmental Aspects Assessment,02,3
02 25 00,Existing Material Assessment,02,2
02 25 16,Existing Concrete Assessment,02,3
02 25 19,Existing Masonry Assessment,02,3
02 25 23,Existing Metals Assessment,02,3
02 25 26,"Existing Wood, Plastics, and Composites Assessment",02,3
02 25 29,Existing Thermal and Moisture Protection Assessment,02,3
02 26 00,Hazardous Material Assessment,02,2
02 26 23,Asbestos Assessment,02,3
02 26 26,Lead Assessment,02,3
02 26 29,Polychlorinate Biphenyl Assessment,02,3
02 26 33,Biological Assessment,02,3
02 26 36,Hazardous Waste Drum Assessment,02,3
02 30 00,Subsurface Investigation,02,2
02 31 00,Geophysical Investigations,02,2
02 31 13,Seismic Investigations,02,3
02 31 16,Gravity Investigations,02,3
02 31 19,Magnetic Investigations,02,3
02 31 23,Electromagnetic Investigations,02,3
02 31 26,Electrical Resistivity Investigations,02,3
02 31 29,Magnetotelluric Investigations,02,3
02 32 00,Geotechnical Investigations,02,2
02 32 13,Subsurface Drilling and Sampling,02,3
02 32 16,Material Testing,02,3
02 32 19,Exploratory Excavations,02,3
02 32 23,Geotechnical Monitoring Before Construction,02,3
02 40 00,Demolition and Structure Moving,02,2
02 41 00,Demolition,02,2
02 41 13,Selective Site Demolition,02,3
02 41 16,Structure Demolition,02,3
02 41 19,Selective Structure Demolition,02,3
02 41 91,Selective Historic Demolition,02,3
02 42 00,Removal and Salvage of Construction Materials,02,2
02 42 91,Removal and Salvage of Historic Construction Materials,02,3
02 43 00,Structure Moving,02,2
02 43 13,Structure Relocation,02,3
02 43 16,Structure Raising,02,3
02 50 00,Site Remediation,02,2
02 51 00,Physical Decontamination,02,2
02 51 13,Coagulation and Flocculation Decontamination,02,3
02 51 16,Reverse-Osmosis Decontamination,02,3
02 51 19,Solidification and Stabilization Decontamination,02,3
02 51 23,Mechanical Filtration Decontamination,02,3
02 51 26,Radioactive Decontamination,02,3
02 51 29,Surface Cleaning Decontamination,02,3
02 51 33,Surface Removal Decontamination,02,3
02 52 00,Chemical Decontamination,02,2
02 52 13,Chemical Precipitation Decontamination,02,3
02 52 16,Ion Change Decontamination,02,3
02 52 19,Neutralization Decontamination,02,3
02 53 00,Thermal Decontamination,02,2
02 53 13,Incineration Decontamination,02,3
02 53 16,Thermal Desorption Decontamination,02,3
02 53 19,Vitrification Decontamination,02,3
02 54 00,Biological Decontamination,02,2
02 54 13,Aerobic Processes Decontamination,02,3
02 54 16,Anaerobic Processes Decontamination,02,3
02 54 19,Bioremediation Decontamination,02,3
02 54 23,Soil Washing through Separation/Solubilization,02,3
02 54 26,Organic Decontamination,02,3
02 55 00,Remediation Soil Stabilization,02,2
02 56 00,Site Containment,02,2
02 56 13,Waste Containment,02,3
02 56 19,Gas Containment,02,3
02 57 00,Sinkhole Remediation,02,2
02 57 13,Sinkhole Remediation by Grouting,02,3
02 57 16,Sinkhole Remediation by Backfilling,02,3
02 58 00,Snow Control,02,2
02 58 13,Snow Fencing,02,3
02 58 16,Snow Avalanche Control,02,3
02 60 00,Contaminated Site Material Removal,02,2
02 61 00,Removal and Disposal of Contaminated Soils,02,2
02 61 13,Excavation and Handling of Contaminated Material,02,3
02 61 23,Removal and Disposal of Polychlorinate Biphenyl Contaminated Soils,02,3
02 61 26,Removal and Disposal of Asbestos Contaminated Soils,02,3
02 61 29,Removal and Disposal of Organically Contaminated Soils,02,3
02 62 00,Hazardous Waste Recovery Processes,02,2
02 62 13,Air and Steam Stripping,02,3
02 62 16,Soil Vapor Extraction,02,3
02 62 19,Soil Washing and Flushing,02,3
02 65 00,Underground Storage Tank Removal,02,2
02 66 00,Landfill Construction and Storage,02,2
02 70 00,Water Remediation,02,2
02 71 00,Groundwater Treatment,02,2
02 72 00,Water Decontamination,02,2
02 72 13,Chemical Water Decontamination,02,3
02 72 16,Biological Water Decontamination,02,3
02 72 19,Electrolysis Water Decontamination,02,3
02 80 00,Facility Remediation,02,2
02 81 00,Transportation and Disposal of Hazardous Materials,02,2
02 82 00,Asbestos Remediation,02,2
02 82 13,Asbestos Abatement,02,3
02 82 16,Engineering Control of Asbestos Containing Materials,02,3
02 82 33,Removal and Disposal of Asbestos Containing Materials,02,3
02 83 00,Lead Remediation,02,2
02 83 13,Lead Hazard Control Activities,02,3
02 83 19,Lead-Based Paint Remediation,02,3
02 83 33,Removal and Disposal of Material Containing Lead,02,3
02 84 00,Polychlorinate Biphenyl Remediation,02,2
02 84 16,Handling of Lighting Ballasts and Lamps Containing PCBs and Mercury,02,3
02 84 33,Removal and Disposal of Polychlorinate Biphenyls,02,3
02 85 00,Mold Remediation,02,2
02 85 13,Precautions for Mold Remediation,02,3
02 85 16,Mold Remediation Preparation and Containment,02,3
02 85 19,Mold Remediation Clearance Air Sampling,02,3
02 85 33,Removal and Disposal of Materials with Mold,02,3
02 86 00,Hazardous Waste Drum Handling,02,2
02 90 00,Unassigned,02,2
03 00 00,Concrete,03,1
03 01 00,Maintenance of Concrete,03,2
03 05 00,Common Work Results for Concrete,03,2
03 06 00,Schedules for Concrete,03,2
03 08 00,Commissioning of Concrete,03,2
03 10 00,Concrete Forming and Accessories,03,2
03 11 00,Concrete Forming,03,2
03 11 13,Structural Cast-in-Place Concrete Forming,03,3
03 11 16,Architectural Cast-in Place Concrete Forming,03,3
03 11 19,Insulating Concrete Forming,03,3
03 11 23,Permanent Stair Forming,03,3
03 15 00,Concrete Accessories,03,2
03 15 13,Waterstops,03,3
03 20 00,Concrete Reinforcing,03,2
03 21 00,Reinforcing Steel,03,2
03 21 13,Galvanized Reinforcing Steel,03,3
03 21 16,Epoxy-Coated Reinforcing Steel,03,3
03 22 00,Welded Wire Fabric Reinforcing,03,2
03 22 13,Galvanized Welded Wire Fabric Reinforcing,03,3
03 22 16,Epoxy-Coated Welded Wire Fabric Reinforcing,03,3
03 23 00,Stressing Tendons,03,2
03 24 00,Fibrous Reinforcing,03,2
03 30 00,Cast-in-Place Concrete,03,2
03 30 53,Miscellaneous Cast-in-Place Concrete,03,3
03 31 00,Structural Concrete,03,2
03 31 13,Heavyweight Structural Concrete,03,3
03 31 16,Lightweight Structural Concrete,03,3
03 31 19,Shrinkage-Compensating Structural Concrete,03,3
03 31 23,High-Performance Structural Concrete,03,3
03 31 26,Self-Compacting Concrete,03,3
03 33 00,Architectural Concrete,03,2
03 33 13,Heavyweight Architectural Concrete,03,3
03 33 16,Lightweight Architectural Concrete,03,3
03 34 00,Low Density Concrete,03,2
03 35 00,Concrete Finishing,03,2
03 35 13,High-Tolerance Concrete Floor Finishing,03,3
03 35 16,Heavy-Duty Concrete Floor Finishing,03,3
03 35 19,Colored Concrete Finishing,03,3
03 35 23,Exposed Aggregate Concrete Finishing,03,3
03 35 26,Grooved Concrete Surface Finishing,03,3
03 35 29,Tooled Concrete Finishing,03,3
03 35 33,Stamped Concrete Finishing,03,3
03 37 00,Specialty Placed Concrete,03,2
03 37 13,Shotcrete,03,3
03 37 16,Pumped Concrete,03,3
03 37 19,Pneumatically Placed Concrete,03,3
03 37 23,Roller-Compacted Concrete,03,3
03 37 26,Underwater Placed Concrete,03,3
03 38 00,Post-Tensioned Concrete,03,2
03 38 13,Post-Tensioned Concrete Preparation,03,3
03 38 16,Unbonded Post-Tensioned Concrete,03,3
